"Chemical name","Endpoint","Toxicity value","Unit","Source"
"Bisphenol A","Reference Dose","0.0500"," mg/(kg·day)","IRIS"
"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Bisphenol A","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.99","3.38","6.43","6.61"
"Bisphenol A","CTV Reference Dose NO(A)EL","mg/(kg·day)","2.35","0.0850","94.6","6.61"
"Bisphenol A","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.29","2.29","6.23","4.94"
"Bisphenol A","CTV Reference Dose (RfD) BMD","mg/(kg·day)","11.7","0.135","1.17e+3","4.94"
"Bisphenol A","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.56","2.78","6.28","4.94"
"Bisphenol A","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","6.26","0.120","378","4.94"
"Bisphenol A","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.33","5.93","10.3","6.85"
"Bisphenol A","CTV Reference Concentration (RfC)","mg/m3","0.00107","1.03e-5","0.265","6.85"
"Bisphenol A","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.40","3.41","7.23","53.3"
"Bisphenol A","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","1.09","0.0112","74.2","53.3"
"Bisphenol A","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.26","4.28","8.31","45.5"
"Bisphenol A","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","8.02","0.0844","901","45.5"
"Bisphenol A","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.49","3.11","7.36","10.7"
"Bisphenol A","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","1.36","0.00561","99.5","10.7"
