"Chemical name","Endpoint","Toxicity value","Unit","Source"
"2,4-DICHLOROPHENOL","Reference Dose","0.00300"," mg/(kg·day)","IRIS"
"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2,4-DICHLOROPHENOL","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.59","2.99","6.03","2.53"
"2,4-DICHLOROPHENOL","CTV Reference Dose NO(A)EL","mg/(kg·day)","4.20","0.152","169","2.53"
"2,4-DICHLOROPHENOL","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.02","3.02","6.96","0.686"
"2,4-DICHLOROPHENOL","CTV Reference Dose (RfD) BMD","mg/(kg·day)","1.55","0.0179","154","0.686"
"2,4-DICHLOROPHENOL","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","5.29","3.51","7.01","0.686"
"2,4-DICHLOROPHENOL","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.840","0.0161","50.7","0.686"
"2,4-DICHLOROPHENOL","CTV Reference Concentration (RfC)","  -Log10Mol/m3","7.73","5.34","9.75","1.04"
"2,4-DICHLOROPHENOL","CTV Reference Concentration (RfC)","mg/m3","0.00304","2.91e-5","0.752","1.04"
"2,4-DICHLOROPHENOL","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.56","2.57","6.40","8.57"
"2,4-DICHLOROPHENOL","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.224","0.00230","15.3","8.57"
"2,4-DICHLOROPHENOL","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.25","3.27","7.30","7.26"
"2,4-DICHLOROPHENOL","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.10","0.0115","123","7.26"
"2,4-DICHLOROPHENOL","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","3.74","1.36","5.61","1.89"
"2,4-DICHLOROPHENOL","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0340","1.40e-4","2.49","1.89"
