"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"MONOBUTYL PHTHALATE","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.72","5.11","8.23","5.57"
"MONOBUTYL PHTHALATE","CTV Reference Dose (RfD)","mg/(kg·day)","0.0420","0.00131","1.71","5.57"
"MONOBUTYL PHTHALATE","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.31","2.71","5.76","1.87"
"MONOBUTYL PHTHALATE","CTV Reference Dose NO(A)EL","mg/(kg·day)","10.8","0.390","434","1.87"
"MONOBUTYL PHTHALATE","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.77","1.77","5.70","2.23"
"MONOBUTYL PHTHALATE","CTV Reference Dose (RfD) BMD","mg/(kg·day)","38.1","0.440","3.80e+3","2.23"
"MONOBUTYL PHTHALATE","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.15","2.37","5.87","2.23"
"MONOBUTYL PHTHALATE","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","15.6","0.299","941","2.23"
"MONOBUTYL PHTHALATE","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.39","6.00","10.4","5.94"
"MONOBUTYL PHTHALATE","CTV Reference Concentration (RfC)","mg/m3","8.98e-4","8.59e-6","0.222","5.94"
"MONOBUTYL PHTHALATE","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.58","2.59","6.41","11.0"
"MONOBUTYL PHTHALATE","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.169","0.00174","11.6","11.0"
"MONOBUTYL PHTHALATE","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.09","3.12","7.14","9.70"
"MONOBUTYL PHTHALATE","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.559","0.00588","62.8","9.70"
"MONOBUTYL PHTHALATE","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.40","2.02","6.27","4.65"
"MONOBUTYL PHTHALATE","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.114","4.69e-4","8.32","4.65"
