"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"monoisononyl phthalate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.67","5.06","8.18","8.40"
"monoisononyl phthalate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0622","0.00195","2.54","8.40"
"monoisononyl phthalate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.19","2.59","5.63","2.03"
"monoisononyl phthalate","CTV Reference Dose NO(A)EL","mg/(kg·day)","18.9","0.681","758","2.03"
"monoisononyl phthalate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.66","1.66","5.60","3.00"
"monoisononyl phthalate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","64.3","0.741","6.40e+3","3.00"
"monoisononyl phthalate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.02","2.24","5.74","3.00"
"monoisononyl phthalate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","28.0","0.537","1.69e+3","3.00"
"monoisononyl phthalate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.27","5.87","10.3","10.7"
"monoisononyl phthalate","CTV Reference Concentration (RfC)","mg/m3","0.00158","1.52e-5","0.392","10.7"
"monoisononyl phthalate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.49","2.51","6.33","12.9"
"monoisononyl phthalate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.107","0.00110","7.29","12.9"
"monoisononyl phthalate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.46","3.48","7.51","13.0"
"monoisononyl phthalate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.984","0.0104","111","13.0"
"monoisononyl phthalate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.62","2.24","6.48","9.71"
"monoisononyl phthalate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.143","5.89e-4","10.4","9.71"
