"Chemical name","Endpoint","Toxicity value","Unit","Source"
"2,4,5-TRICHLOROPHENOL","Reference Dose","0.100"," mg/(kg·day)","IRIS"
"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2,4,5-TRICHLOROPHENOL","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.10","2.49","5.54","3.55"
"2,4,5-TRICHLOROPHENOL","CTV Reference Dose NO(A)EL","mg/(kg·day)","15.9","0.572","637","3.55"
"2,4,5-TRICHLOROPHENOL","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.94","2.95","6.88","0.754"
"2,4,5-TRICHLOROPHENOL","CTV Reference Dose (RfD) BMD","mg/(kg·day)","2.25","0.0259","224","0.754"
"2,4,5-TRICHLOROPHENOL","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","5.18","3.40","6.90","0.754"
"2,4,5-TRICHLOROPHENOL","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","1.31","0.0251","79.0","0.754"
"2,4,5-TRICHLOROPHENOL","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.56","6.17","10.6","1.22"
"2,4,5-TRICHLOROPHENOL","CTV Reference Concentration (RfC)","mg/m3","5.40e-4","5.17e-6","0.134","1.22"
"2,4,5-TRICHLOROPHENOL","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.45","2.46","6.28","10.1"
"2,4,5-TRICHLOROPHENOL","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.143","0.00147","9.75","10.1"
"2,4,5-TRICHLOROPHENOL","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.94","2.96","6.99","8.52"
"2,4,5-TRICHLOROPHENOL","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.438","0.00461","49.2","8.52"
"2,4,5-TRICHLOROPHENOL","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","3.72","1.33","5.58","1.91"
"2,4,5-TRICHLOROPHENOL","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0264","1.09e-4","1.93","1.91"
