"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"BUTYLPARABEN","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.10","5.49","8.60","5.02"
"BUTYLPARABEN","CTV Reference Dose (RfD)","mg/(kg·day)","0.0154","4.83e-4","0.630","5.02"
"BUTYLPARABEN","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.86","3.26","6.31","1.50"
"BUTYLPARABEN","CTV Reference Dose NO(A)EL","mg/(kg·day)","2.65","0.0957","106","1.50"
"BUTYLPARABEN","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.57","1.57","5.51","1.30"
"BUTYLPARABEN","CTV Reference Dose (RfD) BMD","mg/(kg·day)","52.4","0.604","5.21e+3","1.30"
"BUTYLPARABEN","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.96","2.18","5.68","1.30"
"BUTYLPARABEN","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","21.3","0.408","1.28e+3","1.30"
"BUTYLPARABEN","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.41","6.02","10.4","2.70"
"BUTYLPARABEN","CTV Reference Concentration (RfC)","mg/m3","7.49e-4","7.17e-6","0.185","2.70"
"BUTYLPARABEN","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.36","2.37","6.19","9.97"
"BUTYLPARABEN","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.118","0.00121","8.06","9.97"
"BUTYLPARABEN","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.91","2.94","6.97","8.83"
"BUTYLPARABEN","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.423","0.00445","47.5","8.83"
"BUTYLPARABEN","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","3.92","1.53","5.78","3.69"
"BUTYLPARABEN","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0426","1.76e-4","3.12","3.69"
