"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"41318-75-6","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","10.3","8.69","11.8","28.2"
"41318-75-6","CTV Reference Dose (RfD)","mg/(kg·day)","2.02e-5","6.30e-7","8.22e-4","28.2"
"41318-75-6","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.81","4.20","7.25","9.91"
"41318-75-6","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.634","0.0229","25.5","9.91"
"41318-75-6","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.56","3.56","7.50","4.66"
"41318-75-6","CTV Reference Dose (RfD) BMD","mg/(kg·day)","1.12","0.0129","111","4.66"
"41318-75-6","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","5.78","4.00","7.49","4.66"
"41318-75-6","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.680","0.0130","41.0","4.66"
"41318-75-6","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.60","7.21","11.6","7.48"
"41318-75-6","CTV Reference Concentration (RfC)","mg/m3","1.02e-4","9.75e-7","0.0252","7.48"
"41318-75-6","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","6.02","4.03","7.86","48.2"
"41318-75-6","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","2.60","0.0266","177","48.2"
"41318-75-6","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.49","4.51","8.54","41.4"
"41318-75-6","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","7.55","0.0795","849","41.4"
"41318-75-6","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","6.61","4.23","8.47","8.58"
"41318-75-6","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","10.0","0.0413","732","8.58"
