"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"diethyl hydrogen phosphate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.02","5.41","8.53","-0.164"
"diethyl hydrogen phosphate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0147","4.58e-4","0.598","-0.164"
"diethyl hydrogen phosphate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","3.83","2.23","5.28","-0.228"
"diethyl hydrogen phosphate","CTV Reference Dose NO(A)EL","mg/(kg·day)","22.5","0.813","905","-0.228"
"diethyl hydrogen phosphate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.69","1.70","5.63","1.39"
"diethyl hydrogen phosphate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","31.2","0.359","3.10e+3","1.39"
"diethyl hydrogen phosphate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.14","2.36","5.86","1.39"
"diethyl hydrogen phosphate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","11.1","0.214","673","1.39"
"diethyl hydrogen phosphate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","7.43","5.04","9.45","1.60"
"diethyl hydrogen phosphate","CTV Reference Concentration (RfC)","mg/m3","0.00573","5.48e-5","1.42","1.60"
"diethyl hydrogen phosphate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.21","2.22","6.04","0.165"
"diethyl hydrogen phosphate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.104","0.00107","7.12","0.165"
"diethyl hydrogen phosphate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.89","2.92","6.94","0.525"
"diethyl hydrogen phosphate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.507","0.00534","57.0","0.525"
"diethyl hydrogen phosphate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.56","2.17","6.42","2.54"
"diethyl hydrogen phosphate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.234","9.65e-4","17.1","2.54"
