Id	CID	CASIdentifier	Name	IUPAC	InChIKey	InChI	SMILES
CAS:1309-37-1	518696	CAS:1309-37-1	Iron(III) oxide	oxo(oxoferriooxy)iron	JEIPFZHSYJVQDO-UHFFFAOYSA-N	InChI=1S/2Fe.3O	O=[Fe]O[Fe]=O
CAS:1309-38-2	14789	CAS:1309-38-2	Magnetite	hydroxy(oxo)iron;iron	UCNNJGDEJXIUCC-UHFFFAOYSA-L	InChI=1S/3Fe.2H2O.2O/h;;;2*1H2;;/q;2*+1;;;;/p-2	O[Fe]=O.O[Fe]=O.[Fe]
CAS:1308-38-9	517277	CAS:1308-38-9	Chromium(III) oxide	oxo(oxochromiooxy)chromium	QDOXWKRWXJOMAK-UHFFFAOYSA-N	InChI=1S/2Cr.3O	O=[Cr]O[Cr]=O
CAS:10045-97-3	5486527	CAS:10045-97-3	Cesium-137	cesium-137	TVFDJXOCXUVLDH-RNFDNDRNSA-N	InChI=1S/Cs/i1+4	[Cs]
CAS:7440-50-8	23978	CAS:7440-50-8	Copper	copper	RYGMFSIKBFXOCR-UHFFFAOYSA-N	InChI=1S/Cu	[Cu]
CAS:13982-63-3	9877911	CAS:13982-63-3	Radium-226	radium-226	HCWPIIXVSYCSAN-IGMARMGPSA-N	InChI=1S/Ra/i1+0	[Ra]
CAS:7440-61-1	23989	CAS:7440-61-1	Uranium	uranium	JFALSRSLKYAFGM-UHFFFAOYSA-N	InChI=1S/U	[U]
CAS:7439-89-6	23925	CAS:7439-89-6	Fe	iron	XEEYBQQBJWHFJM-UHFFFAOYSA-N	InChI=1S/Fe	[Fe]
CAS:10098-97-2	5486204	CAS:10098-97-2	Strontium-90	strontium-90	CIOAGBVUUVVLOB-NJFSPNSNSA-N	InChI=1S/Sr/i1+2	[Sr]
CAS:7429-90-5	5359268	CAS:7429-90-5	Aluminum	aluminum	XAGFODPZIPBFFR-UHFFFAOYSA-N	InChI=1S/Al	[Al]
CAS:7440-02-0	935	CAS:7440-02-0	Nickel	nickel	PXHVJJICTQNCMI-UHFFFAOYSA-N	InChI=1S/Ni	[Ni]
CAS:7440-22-4	23954	CAS:7440-22-4	Silver	silver	BQCADISMDOOEFD-UHFFFAOYSA-N	InChI=1S/Ag	[Ag]
CAS:10043-92-2	24857	CAS:10043-92-2	Radon	radon	SYUHGPGVQRZVTB-UHFFFAOYSA-N	InChI=1S/Rn	[Rn]
CAS:12001-28-4	86278622	CAS:12001-28-4	Crocidolite	trimagnesium;disodium;dihydroxy(oxo)silane;iron(3+)	ULEFFCDROVNTRO-UHFFFAOYSA-N	InChI=1S/2Fe.3Mg.2Na.8H2O3Si/c;;;;;;;8*1-4(2)3/h;;;;;;;8*1-2H/q2*+3;3*+2;2*+1;;;;;;;;	O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.O[Si](=O)O.[Na+].[Na+].[Mg+2].[Mg+2].[Mg+2].[Fe+3].[Fe+3]
CAS:7439-98-7	23932	CAS:7439-98-7	Molybdenum	molybdenum	ZOKXTWBITQBERF-UHFFFAOYSA-N	InChI=1S/Mo	[Mo]
CAS:124-38-9	280	CAS:124-38-9	Carbon dioxide	Carbon dioxide	CURLTUGMZLYLDI-UHFFFAOYSA-N	InChI=1S/CO2/c2-1-3	C(=O)=O
CAS:7778-18-9	24497	CAS:7778-18-9	Calcium sulfate	calcium;sulfate	OSGAYBCDTDRGGQ-UHFFFAOYSA-L	InChI=1S/Ca.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2	[O-]S(=O)(=O)[O-].[Ca+2]
CAS:7440-36-0	5354495	CAS:7440-36-0	Antimony	antimony	WATWJIUSRGPENY-UHFFFAOYSA-N	InChI=1S/Sb	[Sb]
CAS:7440-38-2	5359596	CAS:7440-38-2	Arsenic	arsenic	RQNWIZPPADIBDY-UHFFFAOYSA-N	InChI=1S/As	[As]
CAS:7778-39-4	234	CAS:7778-39-4	Arsenic acid	arsoric acid	DJHGAFSJWGLOIV-UHFFFAOYSA-N	InChI=1S/AsH3O4/c2-1(3,4)5/h(H3,2,3,4,5)	O[As](=O)(O)O
CAS:15502-74-6	544	CAS:15502-74-6	Arsorite	arsorite	OWTFKEBRIAXSMO-UHFFFAOYSA-N	InChI=1S/AsO3/c2-1(3)4/q-3	[O-][As]([O-])[O-]
