Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Level of Aggregation,Statistic Name,Number of Samples,Samples Below LOQ,Percentage of Samples >= LOD,Position,Latitude,Longitude,Location Name,Compound,Cohort Code,Cohort Name,Determinant Name,Determinant Value,Sample Type,Confidence Interval,IPCheM QC,PulledDate,FileName,QA_Concerns
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 10,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Minimum,73,42,42.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.1,ng/mL,2007,0.06,NA,Human (Urine),statistic,Mean,73,42,42.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.45,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 95,25,14,44,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.06-0.13,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.24,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 75,25,14,44,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.06-0.13,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 50,25,14,44,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.06-0.13,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 10,25,14,44,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.06-0.13,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.47,ng/mL,2007,0.06,NA,Human (Urine),statistic,Maximum,25,14,44,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.06-0.13,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.14,ng/mL,2007,0.06,NA,Human (Urine),statistic,Mean,25,14,44,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.06-0.13,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.38,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 95,64,42,34.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.05-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.32,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 90,64,42,34.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.05-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 50,64,42,34.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.05-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 10,64,42,34.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.05-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.44,ng/mL,2007,0.06,NA,Human (Urine),statistic,Maximum,64,42,34.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.05-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.1,ng/mL,2007,0.06,NA,Human (Urine),statistic,Mean,64,42,34.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.05-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.08,ng/mL,2007,0.06,NA,Human (Urine),statistic,Geometric Mean,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.29,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 90,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 50,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 25,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Percentile 25,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,3.71,ng/mL,2007,0.06,NA,Human (Urine),statistic,Maximum,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Minimum,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.16,ng/mL,2007,0.06,NA,Human (Urine),statistic,Mean,65,38,41.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Males,24 hour,0.06-0.1,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.38,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 95,129,80,38,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.3,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 90,129,80,38,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 50,129,80,38,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
