Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Sampling Matrix,Level of Aggregation,Statistic Name,Number of Samples,Samples Below LOQ,Confidence Interval,Position,Latitude,Longitude,Location Name,Target Population,Adjusted For,Concentration Value (unadjusted),Confidence Interval (unadjusted),IPCheM QC,PulledDate,FileName,QA_Concerns
mercury,7439-97-6,BEL,Belgium,BEL,NA,0.204,µg/g,2011/09/01-2012/04/24,NA,0.08,Human (Hair),hair,statistic,Geometric Mean,127,19.70%,0.173-0.241,representative,NA,NA,NA,children,"age, gender",0.204,0.173-0.242,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,CHE,Switzerland,CHE,NA,0.076,µg/g,2011/09/01-2012/04/24,NA,0.02,Human (Hair),hair,statistic,Geometric Mean,120,21.70%,0.065-0.09,representative,NA,NA,NA,children,"age, gender",0.077,0.065-0.091,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,CYP,Cyprus,CYP,NA,0.326,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,60,1.70%,0.257-0.413,representative,NA,NA,NA,children,"age, gender",0.326,0.257-0.413,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,CZE,Czech Republic,CZE,NA,0.098,µg/g,2011/09/01-2012/04/24,NA,0.014,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.083-0.116,representative,NA,NA,NA,children,"age, gender",0.098,0.083-0.116,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,DEU,Germany,DEU,NA,0.055,µg/g,2011/09/01-2012/04/24,NA,0.003,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.046-0.065,representative,NA,NA,NA,children,"age, gender",0.055,0.047-0.065,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,DNK,Denmark,DNK,NA,0.25,µg/g,2011/09/01-2012/04/24,NA,0.04,Human (Hair),hair,statistic,Geometric Mean,144,2.10%,0.211-0.295,representative,NA,NA,NA,children,"age, gender",0.249,0.211-0.295,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,ESP,Spain,ESP,NA,0.884,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.747-1.046,representative,NA,NA,NA,children,"age, gender",0.884,0.747-1.046,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,HUN,Hungary,HUN,NA,0.025,µg/g,2011/09/01-2012/04/24,NA,0.015,Human (Hair),hair,statistic,Geometric Mean,119,48.70%,0.021-0.029,representative,NA,NA,NA,children,"age, gender",0.025,0.021-0.029,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,IRL,Ireland,IRL,NA,0.097,µg/g,2011/09/01-2012/04/24,NA,0.07,Human (Hair),hair,statistic,Geometric Mean,120,37.00%,0.082-0.114,representative,NA,NA,NA,children,"age, gender",0.097,0.082-0.114,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,LUX,Luxembourg,LUX,NA,0.181,µg/g,2011/09/01-2012/04/24,NA,0.005,Human (Hair),hair,statistic,Geometric Mean,56,0.00%,0.142-0.229,representative,NA,NA,NA,children,"age, gender",0.18,0.142-0.228,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,POL,Poland,POL,NA,0.07,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,120,1.70%,0.06-0.083,representative,NA,NA,NA,children,"age, gender",0.07,0.06-0.083,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,PRT,Portugal,PRT,NA,1.033,µg/g,2011/09/01-2012/04/24,NA,0.08,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.873-1.222,representative,NA,NA,NA,children,"age, gender",1.035,0.875-1.225,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,ROU,Romania,ROU,NA,0.085,µg/g,2011/09/01-2012/04/24,NA,0.137,Human (Hair),hair,statistic,Geometric Mean,120,8.70%,0.072-0.101,representative,NA,NA,NA,children,"age, gender",0.085,0.072-0.101,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,SWE,Sweden,SWE,NA,0.181,µg/g,2011/09/01-2012/04/24,NA,0.001,Human (Hair),hair,statistic,Geometric Mean,100,0.00%,0.153-0.214,representative,NA,NA,NA,children,"age, gender",0.181,0.153-0.214,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,SVN,Slovenia,SVN,NA,0.169,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.142-0.2,representative,NA,NA,NA,children,"age, gender",0.168,0.142-0.199,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,SVK,Slovakia,SVK,NA,0.092,µg/g,2011/09/01-2012/04/24,NA,0.016,Human (Hair),hair,statistic,Geometric Mean,129,0.00%,0.078-0.109,representative,NA,NA,NA,children,"age, gender",0.092,0.078-0.109,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,GBR,United Kingdom,GBR,NA,0.192,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,21,0.00%,0.163-0.228,representative,NA,NA,NA,children,"age, gender",0.193,0.163-0.228,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,BEL,Belgium,BEL,NA,0.368,µg/g,2011/09/01-2012/04/24,NA,0.08,Human (Hair),hair,statistic,Geometric Mean,127,19.70%,0.313-0.431,representative,NA,NA,NA,mothers,age,0.383,0.327-0.45,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,CHE,Switzerland,CHE,NA,0.153,µg/g,2011/09/01-2012/04/24,NA,0.02,Human (Hair),hair,statistic,Geometric Mean,120,21.70%,0.131-0.18,representative,NA,NA,NA,mothers,age,0.163,0.139-0.191,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,CYP,Cyprus,CYP,NA,0.462,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,60,1.70%,0.369-0.578,representative,NA,NA,NA,mothers,age,0.463,0.369-0.58,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,CZE,Czech Republic,CZE,NA,0.156,µg/g,2011/09/01-2012/04/24,NA,0.014,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.133-0.183,representative,NA,NA,NA,mothers,age,0.155,0.132-0.182,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,DEU,Germany,DEU,NA,0.107,µg/g,2011/09/01-2012/04/24,NA,0.003,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.092-0.126,representative,NA,NA,NA,mothers,age,0.113,0.096-0.133,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,DNK,Denmark,DNK,NA,0.391,µg/g,2011/09/01-2012/04/24,NA,0.04,Human (Hair),hair,statistic,Geometric Mean,144,2.10%,0.333-0.458,representative,NA,NA,NA,mothers,age,0.42,0.358-0.493,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,ESP,Spain,ESP,NA,1.486,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,1.267-1.744,representative,NA,NA,NA,mothers,age,1.592,1.357-1.869,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,HUN,Hungary,HUN,NA,0.039,µg/g,2011/09/01-2012/04/24,NA,0.015,Human (Hair),hair,statistic,Geometric Mean,119,48.70%,0.033-0.045,representative,NA,NA,NA,mothers,age,0.038,0.032-0.044,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,IRL,Ireland,IRL,NA,0.162,µg/g,2011/09/01-2012/04/24,NA,0.07,Human (Hair),hair,statistic,Geometric Mean,120,37.50%,0.139-0.19,representative,NA,NA,NA,mothers,age,0.165,0.141-0.194,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,LUX,Luxembourg,LUX,NA,0.387,µg/g,2011/09/01-2012/04/24,NA,0.005,Human (Hair),hair,statistic,Geometric Mean,56,0.00%,0.308-0.485,representative,NA,NA,NA,mothers,age,0.416,0.332-0.522,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,POL,Poland,POL,NA,0.135,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,120,1.70%,0.116-0.159,representative,NA,NA,NA,mothers,age,0.131,0.111-0.153,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,PRT,Portugal,PRT,NA,1.2,µg/g,2011/09/01-2012/04/24,NA,0.08,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,1.023-1.406,representative,NA,NA,NA,mothers,age,1.203,1.025-1.412,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,ROU,Romania,ROU,NA,0.1,µg/g,2011/09/01-2012/04/24,NA,0.137,Human (Hair),hair,statistic,Geometric Mean,120,81.70%,0.085-0.117,representative,NA,NA,NA,mothers,age,0.095,0.081-0.111,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,SWE,Sweden,SWE,NA,0.252,µg/g,2011/09/01-2012/04/24,NA,0.001,Human (Hair),hair,statistic,Geometric Mean,100,0.00%,0.215-0.295,representative,NA,NA,NA,mothers,age,0.26,0.222-0.305,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,SVN,Slovenia,SVN,NA,0.255,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,120,0.00%,0.217-0.299,representative,NA,NA,NA,mothers,age,0.263,0.224-0.309,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,SVK,Slovakia,SVK,NA,0.132,µg/g,2011/09/01-2012/04/24,NA,0.016,Human (Hair),hair,statistic,Geometric Mean,129,0.00%,0.112-0.154,representative,NA,NA,NA,mothers,age,0.129,0.11-0.152,NA,2020,Democophes_Aggregate.csv,
mercury,7439-97-6,GBR,United Kingdom,GBR,NA,0.153,µg/g,2011/09/01-2012/04/24,NA,0.01,Human (Hair),hair,statistic,Geometric Mean,21,0.00%,0.13-0.18,representative,NA,NA,NA,mothers,age,0.163,0.139-0.192,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,BEL,Belgium,BEL,NA,0.629,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,125,65.60%,0.517-0.766,representative,NA,NA,NA,children,"age, gender, crt",0.634,0.521-0.771,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CHE,Switzerland,CHE,NA,0.508,µg/L,2011/09/01-2012/04/24,NA,1,Human (Urine),urine,statistic,Geometric Mean,119,98.30%,0.418-0.619,representative,NA,NA,NA,children,"age, gender, crt",0.506,0.416-0.615,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CYP,Cyprus,CYP,NA,0.842,µg/L,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,60,53.30%,0.638-1.111,representative,NA,NA,NA,children,"age, gender, crt",0.841,0.638-1.11,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CZE,Czech Republic,CZE,NA,1.602,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,120,0.00%,1.316-1.95,representative,NA,NA,NA,children,"age, gender, crt",1.585,1.303-1.928,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DEU,Germany,DEU,NA,0.305,µg/L,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,120,13.30%,0.251-0.371,representative,NA,NA,NA,children,"age, gender, crt",0.308,0.253-0.374,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DNK,Denmark,DNK,NA,0.658,µg/L,2011/09/01-2012/04/24,NA,0.75,Human (Urine),urine,statistic,Geometric Mean,144,64.60%,0.541-0.801,representative,NA,NA,NA,children,"age, gender, crt",0.649,0.534-0.79,NA,2020,Democophes_Aggregate.csv,
