Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Analysed Fraction,Level of Aggregation,Statistic Name,Number of Samples,Number of Non Detects,Standard Deviation,Position,Latitude,Longitude,Location Name,Region,Determinant Name,Determinant Value,Study,IPCheM QC,PulledDate,FileName,QA_Concerns
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.672,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.268,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.369,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.848,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.829,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.829,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,5,1,0.71,representative,NA,NA,NA,Albert Canal,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.64,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
