Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Sampling Matrix,Level of Aggregation,Statistic Name,Number of Samples,Standard Deviation,Standard Error,Mean Confidence Interval,Geometric Mean Confidence Interval,Position,Latitude,Longitude,Location Name,Determinant Name,Determinant Value,IPCheM QC,PulledDate,FileName,QA_Concerns
antimony,7440-36-0,ITA,Italy,ITA,NA,0.026,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0333,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0505,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0818,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1264,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.19,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.265,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,1.109,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1056,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.08055,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,1344,0.09755,0.002661,0.1-0.111,0.077-0.084,representative,NA,NA,NA,NA,NA,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0282,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.035,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0556,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0869,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.13,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.195,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.34,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.013,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,1.109,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1163,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.08687,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,479,0.1192,0.005448,0.106-0.127,0.081-0.093,representative,NA,NA,NA,Age,18-35,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0261,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0336,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0508,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0826,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1274,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.19,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2552,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.692,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.103,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.08022,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,558,0.08514,0.003604,0.096-0.11,0.076-0.085,representative,NA,NA,NA,Age,36-50,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0219,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0288,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0466,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.073,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1114,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1778,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2407,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.62,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.09351,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.07213,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,307,0.07764,0.004431,0.085-0.102,0.066-0.078,representative,NA,NA,NA,Age,51-65,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0277,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.035,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0551,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0852,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1317,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.205,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2936,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,1.109,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1142,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.08655,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,572,0.1093,0.004571,0.105-0.123,0.082-0.092,representative,NA,NA,NA,Alcohol,No,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.025,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0309,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.049,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0788,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1247,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1784,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2502,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
